n,x,y,val,dP,lab,xT,yT
0,-15.275756,3.62915,0,2190,0,NaN,NaN
1,-15.283961,3.640889,0,2190,0,NaN,NaN
2,-15.289431,3.658497,0,2190,0,NaN,NaN
3,-15.297635,3.664366,0,2190,0,NaN,NaN
4,-15.300369,3.667301,0,2190,0,NaN,NaN
5,-15.289431,3.661432,0,2190,0,NaN,NaN
6,-15.273021,3.658497,0,2189,0,NaN,NaN
7,-15.2484,3.658497,0,2189,1,NaN,NaN
8,-15.240192,3.658497,0,2188,1,NaN,NaN
9,-15.237456,3.658497,0,2187,1,NaN,NaN
10,-15.245664,3.658497,0,2186,1,NaN,NaN
11,-15.256608,3.661432,0,2187,1,NaN,NaN
12,-15.26755,3.661432,0,2190,1,NaN,NaN
13,-15.275756,3.646758,0,2193,1,NaN,NaN
14,-15.278491,3.632084,0,2194,1,NaN,NaN
15,-15.281226,3.620345,0,2196,1,NaN,NaN
16,-15.281226,3.62328,0,2198,1,NaN,NaN
17,-15.286696,3.626215,0,2200,1,NaN,NaN
18,-15.289431,3.643824,0,2200,1,NaN,NaN
19,-15.289431,3.658497,0,2200,1,NaN,NaN
20,-15.283961,3.658497,0,2201,1,NaN,NaN
21,-15.281226,3.643824,0,2201,1,NaN,NaN
22,-15.283961,3.62915,0,2202,1,NaN,NaN
23,-15.283961,3.632084,0,2201,1,NaN,NaN
24,-15.281226,3.632084,0,2201,1,NaN,NaN
25,-15.275756,3.632084,0,2199,1,NaN,NaN
26,-15.270285,3.635019,0,2198,1,NaN,NaN
27,-15.273021,3.637954,0,2197,1,NaN,NaN
28,-15.286696,3.637954,0,2198,1,NaN,NaN
29,-15.303104,3.635019,0,2199,1,NaN,NaN
30,-15.283961,3.62915,0,2199,1,NaN,NaN
31,-15.2484,3.62328,0,2197,1,NaN,NaN
32,-15.207354,3.61741,0,2195,1,NaN,NaN
33,-15.199143,3.61741,0,2194,1,NaN,NaN
34,-15.199143,3.620345,0,2197,1,NaN,NaN
35,-15.218301,3.61741,0,2201,1,NaN,NaN
36,-15.240192,3.620345,0,2205,1,NaN,NaN
37,-15.253872,3.62328,0,2205,1,NaN,NaN
38,-15.256608,3.632084,0,2203,1,NaN,NaN
39,-15.259343,3.637954,0,2201,1,NaN,NaN
40,-15.256608,3.643824,0,2199,1,NaN,NaN
41,-15.253872,3.640889,0,2199,1,NaN,NaN
42,-15.245664,3.635019,0,2199,1,NaN,NaN
43,-15.242928,3.632084,0,2200,1,NaN,NaN
44,-15.245664,3.637954,0,2202,1,NaN,NaN
45,-15.253872,3.649693,0,2204,1,NaN,NaN
46,-15.242928,3.658497,0,2205,1,NaN,NaN
47,-15.226511,3.658497,0,2204,1,NaN,NaN
48,-15.226511,3.646758,0,2203,1,NaN,NaN
49,-15.23472,3.637954,0,2206,1,NaN,NaN
50,-15.245664,3.632084,0,2210,1,NaN,NaN
51,-15.242928,3.62915,0,2214,1,NaN,NaN
52,-15.242928,3.620345,0,2216,1,NaN,NaN
53,-15.240192,3.61154,0,2219,1,NaN,NaN
54,-15.240192,3.602735,0,2220,1,NaN,NaN
55,-15.253872,3.5998,0,2220,1,NaN,NaN
56,-15.270285,3.5998,0,2219,1,NaN,NaN
57,-15.292166,3.602735,0,2217,1,NaN,NaN
58,-15.2949,3.602735,0,2216,1,NaN,NaN
59,-15.297635,3.608605,0,2215,1,NaN,NaN
60,-15.2949,3.61154,0,2214,1,NaN,NaN
61,-15.289431,3.614475,0,2213,1,NaN,NaN
62,-15.264814,3.60567,0,2212,1,NaN,NaN
63,-15.242928,3.5998,0,2210,1,NaN,NaN
64,-15.218301,3.596865,0,2210,1,NaN,NaN
65,-15.218301,3.596865,0,2211,1,NaN,NaN
66,-15.226511,3.596865,0,2211,1,NaN,NaN
67,-15.237456,3.596865,0,2211,1,NaN,NaN
68,-15.242928,3.596865,0,2214,1,NaN,NaN
69,-15.240192,3.596865,0,2218,1,NaN,NaN
70,-15.253872,3.602735,0,2222,1,NaN,NaN
71,-15.26755,3.608605,0,2221,1,NaN,NaN
72,-15.297635,3.59393,0,2221,1,NaN,NaN
73,-15.311307,3.570449,0,2221,1,NaN,NaN
74,-15.297635,3.561643,0,2221,1,NaN,NaN
75,-15.273021,3.585125,0,2219,2,NaN,NaN
76,-15.240192,3.60567,0,2217,2,NaN,NaN
77,-15.229247,3.602735,0,2219,2,NaN,NaN
78,-15.210091,3.59393,0,2223,2,NaN,NaN
79,-15.174505,3.58219,0,2227,2,NaN,NaN
80,-15.095079,3.579255,0,2227,2,NaN,NaN
81,-15.004625,3.555773,0,2228,2,NaN,NaN
82,-14.867428,3.529354,0,2228,2,NaN,NaN
83,-14.697061,3.488256,0,2232,2,NaN,NaN
84,-14.496126,3.458898,0,2235,2,NaN,NaN
85,-14.195423,3.39724,0,2238,2,NaN,NaN
86,-13.855136,3.34732,0,2238,2,NaN,NaN
87,-13.455482,3.276837,0,2238,2,NaN,NaN
88,-13.026594,3.215156,0,2244,2,NaN,NaN
89,-12.607413,3.109399,0,2250,2,NaN,NaN
90,-12.111012,3.021253,0,2256,2,NaN,NaN
91,-11.674787,2.883128,0,2259,2,NaN,NaN
92,-11.200422,2.68911,0,2266,2,NaN,NaN
93,-10.747194,2.433264,0,2276,2,NaN,NaN
94,-10.269836,2.183207,0,2282,2,NaN,NaN
95,-9.793888,1.971328,0,2286,2,NaN,NaN
96,-9.356636,1.782945,0,2287,2,NaN,NaN
97,-8.918281,1.568025,0,2292,2,NaN,NaN
98,-8.475996,1.3295,0,2298,2,NaN,NaN
99,-8.02981,1.061473,0,2304,2,NaN,NaN
100,-7.608631,0.840536,0,2308,2,NaN,NaN
101,-7.198197,0.596003,0,2309,2,NaN,NaN
102,-6.740643,0.366182,0,2311,2,NaN,NaN
103,-6.267704,0.095096,0,2310,2,NaN,NaN
104,-5.81427,-0.140635,0,2310,2,NaN,NaN
105,-5.438759,-0.382254,0,2311,2,NaN,NaN
106,-5.091941,-0.615021,0,2312,2,NaN,NaN
107,-4.823555,-0.833037,0,2315,2,NaN,NaN
108,-4.563718,-1.053975,0,2318,2,NaN,NaN
109,-4.411815,-1.25721,0,2319,2,NaN,NaN
110,-4.259851,-1.504584,0,2321,2,NaN,NaN
111,-4.192616,-1.701854,0,2323,2,NaN,NaN
112,-4.137066,-1.88731,0,2326,2,NaN,NaN
113,-4.099053,-1.999153,0,2327,2,NaN,NaN
114,-4.072735,-2.13158,0,2328,2,NaN,NaN
115,-4.055188,-2.222794,0,2329,2,NaN,NaN
116,-4.031792,-2.316938,0,2330,2,NaN,NaN
117,-4.002544,-2.396363,0,2330,2,NaN,NaN
118,-3.973294,-2.461073,0,2330,2,NaN,NaN
119,-3.967444,-2.493425,0,2329,2,NaN,NaN
120,-3.973294,-2.502248,0,2329,2,NaN,NaN
121,-3.976219,-2.50813,0,2328,2,NaN,NaN
122,-3.982069,-2.490484,0,2326,1,NaN,NaN
123,-4.002544,-2.458132,0,2326,1,NaN,NaN
124,-4.023018,-2.425777,0,2326,1,NaN,NaN
125,-4.058113,-2.416953,0,2327,1,NaN,NaN
126,-4.075659,-2.372831,0,2324,1,NaN,NaN
127,-4.11075,-2.313997,0,2321,1,NaN,NaN
128,-4.142914,-2.246331,0,2316,1,NaN,NaN
129,-4.175075,-2.225736,0,2314,1,NaN,NaN
130,-4.183846,-2.219852,0,2312,1,NaN,NaN
131,-4.166304,-2.219852,0,2312,1,NaN,NaN
132,-4.116598,-2.216909,0,2312,1,NaN,NaN
133,-4.069811,-2.243389,0,2313,1,NaN,NaN
134,-3.982069,-2.27281,0,2314,1,NaN,NaN
135,-3.92649,-2.305171,0,2314,1,NaN,NaN
136,-3.862126,-2.352239,0,2314,1,NaN,NaN
137,-3.835792,-2.396363,0,2314,1,NaN,NaN
138,-3.794826,-2.434601,0,2315,1,NaN,NaN
139,-3.768488,-2.437543,0,2315,1,NaN,NaN
140,-3.750929,-2.437543,0,2317,1,NaN,NaN
141,-3.748002,-2.458132,0,2318,1,NaN,NaN
142,-3.742149,-2.481661,0,2319,1,NaN,NaN
143,-3.736295,-2.502248,0,2318,1,NaN,NaN
144,-3.727515,-2.499307,0,2317,1,NaN,NaN
145,-3.724588,-2.496366,0,2318,1,NaN,NaN
146,-3.721661,-2.511071,0,2318,1,NaN,NaN
147,-3.724588,-2.531658,0,2318,1,NaN,NaN
148,-3.7041,-2.546362,0,2318,1,NaN,NaN
149,-3.689465,-2.546362,0,2318,1,NaN,NaN
150,-3.671903,-2.546362,0,2320,1,NaN,NaN
151,-3.671903,-2.552244,0,2321,1,NaN,NaN
152,-3.668976,-2.566948,0,2321,1,NaN,NaN
153,-3.668976,-2.57577,0,2319,1,NaN,NaN
154,-3.666048,-2.584592,0,2317,1,NaN,NaN
155,-3.651412,-2.581651,0,2317,1,NaN,NaN
156,-3.636776,-2.561066,0,2317,1,NaN,NaN
157,-3.619211,-2.53754,0,2317,1,NaN,NaN
158,-3.616284,-2.522835,0,2317,1,NaN,NaN
159,-3.616284,-2.525776,0,2316,1,NaN,NaN
160,-3.616284,-2.534599,0,2319,1,NaN,NaN
161,-3.616284,-2.540481,0,2322,1,NaN,NaN
162,-3.619211,-2.549303,0,2325,1,NaN,NaN
163,-3.625066,-2.552244,0,2325,1,NaN,NaN
164,-3.630921,-2.555185,0,2325,1,NaN,NaN
165,-3.619211,-2.569888,0,2325,1,NaN,NaN
166,-3.601646,-2.587532,0,2325,1,NaN,NaN
167,-3.587008,-2.596354,0,2325,1,NaN,NaN
168,-3.587008,-2.596354,0,2325,1,NaN,NaN
169,-3.569441,-2.590473,0,2324,1,NaN,NaN
170,-3.546018,-2.587532,0,2325,1,NaN,NaN
171,-3.522594,-2.584592,0,2326,1,NaN,NaN
172,-3.516738,-2.587532,0,2327,1,NaN,NaN
173,-3.513809,-2.590473,0,2327,1,NaN,NaN
174,-3.510881,-2.605176,0,2326,1,NaN,NaN
175,-3.507953,-2.619879,0,2325,1,NaN,NaN
176,-3.507953,-2.634581,0,2325,1,NaN,NaN
177,-3.507953,-2.63164,0,2326,1,NaN,NaN
178,-3.505025,-2.63164,0,2326,1,NaN,NaN
179,-3.499168,-2.6287,0,2327,1,NaN,NaN
180,-3.484527,-2.634581,0,2328,1,NaN,NaN
181,-3.472813,-2.649283,0,2328,1,NaN,NaN
182,-3.458171,-2.661044,0,2329,1,NaN,NaN
183,-3.452314,-2.669865,0,2328,1,NaN,NaN
184,-3.452314,-2.681626,0,2328,1,NaN,NaN
185,-3.455243,-2.696326,0,2328,1,NaN,NaN
186,-3.464028,-2.713967,0,2328,1,NaN,NaN
187,-3.469885,-2.719847,0,2327,1,NaN,NaN
188,-3.469885,-2.722787,0,2326,1,NaN,NaN
